,cWT-1,cWT-2,cKO-1,cKO-2
Nat9,551,538,637,491
Grin2c,0,1,4,3
Fdxr,136,114,180,181
Fads6,82,88,70,35
Ush1g,0,0,0,0
Hid1,0,0,1,0
Ict1os,2,2,3,3
Atp5h,4444,2993,4878,3151
Gm11695,0,0,0,0
Nt5c,1011,481,1494,696
Jpt1,1577,1168,1549,1178
Sumo2,138,101,117,118
Gga3,437,452,504,339
Mif4gd,404,354,693,400
Slc25a19,176,134,211,157
Grb2,2700,2360,2931,2492
Caskin2,3,11,9,8
Recql5,112,110,163,123
Sap30bpos,3,8,7,10
Galk1,322,236,418,315
H3f3b,61268,66916,94988,78022
Unc13d,100,109,123,116
Wbp2,1220,1125,1957,1680
Trim47,652,851,858,740
Trim65,22,12,19,11
Mrpl38,339,296,396,207
Fbf1,102,96,108,97
Acox1,472,411,532,555
Evpl,1,0,0,0
Srp68,647,673,751,741
Exoc7,382,350,470,405
Foxj1,0,5,3,4
Rnf157,75,58,151,77
Qrich2,4,2,19,2
Prpsap1,604,508,746,462
Gm29292,0,0,0,1
Ube2o,212,200,252,169
Rhbdf2,118,117,236,182
Cygb,8,24,100,106
St6galnac1,8,28,99,52
Mxra7,72,80,136,163
Jmjd6,451,492,636,622
Srsf2,3603,3060,6102,4065
Gm11728,0,0,0,0
Gm11730,0,0,0,0
Gm16045,0,0,0,0
Gm34418,0,0,0,0
Tmc6,454,370,735,608
Gm11723,0,0,0,1
Gm11724,0,2,0,4
Tk1,6,3,4,9
Tha1,47,41,71,104
Socs3,3387,3172,4737,20974
Dnah17,2,1,0,3
Cyth1,154,121,164,235
Usp36,288,233,440,379
Timp2,6479,5697,6014,5854
Cep295nl,0,0,0,0
Lgals3bp,3277,1865,3812,3121
Cant1,900,774,947,754
Gm11747,1,0,0,0
Gm11748,3,3,0,0
Rbfox3,8,6,8,2
Gm11749,0,0,0,0
Cbx8,224,232,204,117
Cbx4,548,491,643,569
Gm11754,0,0,0,0
Gm11755,0,0,0,0
Tbc1d16,754,530,1183,1333
Gm11753,0,0,0,0
Eif4a3,1435,1182,1523,1293
Sgsh,161,148,288,191
A930037H05Rik,4,1,1,0
Nptx1,1,1,1,2
Rptoros,10,8,20,10
Gm11767,0,2,1,0
Aatk,95,63,181,142
Cep131,67,52,101,51
Tepsin,99,101,149,104
Slc38a10,979,994,1242,1190
2810410L24Rik,0,1,0,0
Gm11770,0,0,0,0
2900052L18Rik,104,71,111,55
Gm11772,57,52,42,29
Actg1,4177,4254,3910,3327
Faap100,144,141,171,104
Nploc4,309,294,415,299
Pde6g,7,5,5,0
Oxld1,331,234,346,163
Arl16,173,133,148,104
Gm11788,0,0,1,0
Gm11789,0,0,0,0
Mcrip1,1523,1140,1844,1421
Ppp1r27,0,0,1,0
P4hb,1463,1331,1989,1508
Arhgdia,3897,3324,5203,3925
Alyref,885,612,900,706
Pcyt2,147,115,269,160
Sirt7,1212,1081,1335,869
Mafg,2859,2259,5353,4108
Pycr1,4,8,4,3
Myadml2,77,96,77,74
Notum,4,2,3,4
Gm17178,0,0,0,0
Cenpx,1097,753,1172,746
Dcxr,1001,576,1496,848
Cbr2,35,9,126,40
Rfng,147,169,208,143
Dus1l,363,312,377,301
Fasn,105,76,233,213
Ccdc57,13,17,50,23
Csnk1d,157,190,162,187
Cd7,0,0,0,0
Sectm1b,0,0,0,0
Sectm1a,2,0,2,0
Gm11791,0,0,0,0
Tex19.2,0,0,0,0
Ogfod3,362,237,400,290
Cybc1,1585,1317,1418,1189
Wdr45b,1406,1162,1488,1351
Rab40b,5,4,2,2
Zfp750,4,6,4,8
B3gntl1,54,61,126,103
Gm15643,0,0,0,0
Gm12590,0,0,0,0
Gm11399,0,1,0,0
Eif4enif1,412,326,494,369
Patz1,366,296,528,429
Gm11944,8,6,16,8
Pik3ip1,356,92,4314,3846
8430429K09Rik,0,1,0,1
Pla2g3,0,0,0,0
Selenom,177,151,265,132
Gm11946,0,0,0,0
Gm11947,0,0,0,0
Morc2a,310,317,408,351
Dusp18,73,93,82,78
Pes1,601,451,879,716
Gal3st1,11,2,12,11
Sec14l4,0,0,1,0
Sec14l3,0,0,0,0
Rnf215,772,742,963,805
Sf3a1,463,469,600,542
Tbc1d10a,602,528,1045,1140
Castor1,142,108,236,253
Osm,336,333,1185,1639
Lif,0,0,1,0
Gm11959,0,0,0,0
Gm11958,0,0,0,0
Gm11032,0,0,1,0
Ascc2,255,247,352,256
Zmat5,594,471,706,434
Nipsnap1,63,64,95,87
Thoc5,272,206,222,165
Ap1b1,1256,943,1732,1403
Rasl10a,0,1,0,0
Rhbdd3,217,193,334,252
Gm11963,0,2,3,0
Xbp1,2727,1915,2069,1644
Ankrd36,0,1,0,0
Dbnl,1690,1312,1831,1381
Aebp1,6,11,1,7
Gm11967,0,0,0,0
Ykt6,1519,1584,1802,1713
A730071L15Rik,34,36,48,59
Ogdh,816,626,967,754
Zmiz2,479,457,669,581
Ppia,8742,6539,6655,5671
Gm11973,0,5,3,4
Ccm2,546,406,617,480
Ramp3,0,0,1,4
Adcy1,0,2,2,0
Igfbp1,0,0,1,0
Gm11992,0,1,1,0
Upp1,0,0,2,4
Abca13,5,10,1,6
Vwc2,0,0,0,0
Spata48,0,1,1,0
Gm11998,21,21,7,14
Ikzf1,3697,3592,4317,3834
1700042O10Rik,0,0,1,3
Gm12002,0,0,0,1
Pom121l12,0,0,0,0
Vstm2a,0,0,0,0
Egfr,1,0,2,6
Fbxo48,12,9,7,8
Cnrip1,255,246,280,219
Ppp3r1,105,77,66,60
Wdr92,233,199,229,136
C1d,1039,676,1032,777
Etaa1os,3,5,5,8
Gm12018,0,0,0,0
Gm16140,2,2,1,1
Gm16141,6,4,10,4
4933406G16Rik,0,0,0,0
Spred2,263,264,553,407
Rab1a,2238,1947,2643,2206
Sertad2,815,607,936,1037
Peli1,1155,924,1832,987
Vps54,486,468,674,487
Gm12043,1,0,1,0
Wdpcp,64,84,80,61
Gm12051,0,0,0,0
Tmem17,59,61,69,68
Gm12052,0,0,0,0
Gm12056,0,0,0,0
Gm20456,0,0,0,0
9130230N09Rik,14,10,21,12
Zrsr1,252,298,301,375
Cct4,1993,1519,1808,1328
Fam161a,18,29,28,13
Gm12059,7,6,7,5
1700061J23Rik,0,0,0,0
Xpo1,598,419,692,615
Usp34,1247,1190,1224,1402
1700030C12Rik,0,1,0,1
Pus10,210,210,340,239
Gm12061,0,0,0,0
Gm12063,0,0,0,0
Bcl11a,8,5,1,12
Gm12066,0,0,0,0
Gm12068,0,0,0,0
4933430M04Rik,0,0,0,0
4933427E13Rik,0,0,0,0
Gm12069,0,0,0,0
Fancl,198,146,193,126
Gm12081,0,0,0,0
2810471M01Rik,0,0,0,0
Gm12082,0,0,0,0
Efemp1,3,1,1,2
Pnpt1,309,227,282,234
Ppp4r3b,650,634,644,618
Ccdc88a,992,957,1228,924
Gm12089,0,1,0,0
Mtif2,462,441,513,394
Clhc1,5,2,4,12
Gm12088,0,2,1,4
Rtn4,4301,4219,3793,3284
Gm29237,4,7,6,6
Gm8098,0,0,0,0
Gm12100,0,0,0,0
Psme4,613,693,673,681
Gpr75,0,0,0,0
Asb3,289,262,318,230
Gm12107,0,0,0,0
Cpeb4,982,1146,995,1144
4930524B15Rik,0,0,0,0
Nsg2,4,10,7,10
Snrnp25,176,139,233,118
Mpg,241,198,315,326
Hba-x,0,0,0,0
Hba-a1,3031,71,15,107
Hbq1b,1,0,0,0
Hba-a2,1996,52,18,89
Hbq1a,1,0,0,0
Sh3pxd2b,2,7,41,36
Ubtd2,53,45,62,53
Stk10,1374,1393,1352,1031
Fbxw11,785,687,877,853
Gm12114,0,0,0,0
Gm12116,0,0,0,0
D130052B06Rik,0,0,0,0
Gm12119,0,0,0,0
Gm12120,0,0,0,0
Kcnmb1,0,1,1,0
Lcp2,2236,1823,2110,1440
Gm12121,0,0,0,0
4930403D09Rik,11,4,16,14
Insyn2b,172,176,203,204
Gm12711,0,0,0,0
Slit3,0,0,0,1
Gm12122,0,0,0,0
Pank3,836,769,888,840
Gm12126,0,0,0,0
Gm12127,0,0,0,0
Gm12128,0,0,0,0
Gm12132,0,0,0,0
Nudcd2,542,408,562,364
Platr13,0,0,0,0
A230004M16Rik,0,0,0,0
Gabrb2,0,0,0,0
Atp10b,0,0,0,0
Gm12148,14,15,5,14
Slu7,826,709,888,842
C1qtnf2,0,0,0,0
Ccnjl,3,9,3,9
4933415A04Rik,3,3,5,4
Pwwp2a,1708,1735,1511,1550
Gm12153,0,0,0,0
Il12b,4,1,0,4
Rnf145,847,678,1283,1144
4930597A21Rik,0,0,0,0
Ebf1,1,1,7,7
Gm12160,0,0,0,0
F630206G17Rik,1,2,0,1
Clint1,1781,1768,1799,1607
Sox30,5,2,1,3
Adam19,11,0,16,5
Fndc9,0,0,0,0
Gm12167,0,0,0,0
Fam71b,1,0,0,0
Med7,971,790,1261,1081
Havcr2,3108,2670,5487,4612
Gm12169,0,0,0,0
Gm12171,0,0,1,0
BC053393,0,0,0,0
Havcr1,0,0,0,0
Timd4,11,2,4,1
Rack1,10533,6853,13590,10335
Trim7,18,20,24,26
Olfr56,0,0,1,0
Ifi47,0,1,0,1
Olfr1395,0,0,0,0
Olfr1394,0,0,0,0
Zfp62,1074,984,1147,1084
Mgat1,1996,1894,2259,2039
Olfr1393,1,3,6,5
Olfr1392,0,0,4,4
Olfr10,0,2,0,0
Olfr1391,0,0,0,0
Olfr1390,0,0,0,0
Olfr1389,0,0,0,0
Olfr1388,0,0,0,0
Olfr1387,0,0,0,0
Olfr1386,0,0,0,0
Olfr1385,0,0,0,0
Olfr1384,0,0,0,0
Olfr1383,0,0,0,0
Olfr1382,0,0,0,0
Olfr1381,0,0,0,0
Olfr1380,0,0,0,0
Flt4,0,1,1,1
Scgb3a1,0,0,0,1
Gfpt2,0,0,1,1
Mapk9,357,377,525,425
Rasgef1c,1,1,0,0
Rnf130,4845,3698,5506,4095
Tbc1d9b,671,643,988,818
Mrnip,53,62,87,74
Mgat4b,659,602,919,765
Gm26542,173,180,256,120
Cby3,4,1,5,1
Hnrnph1,2067,2198,2775,2184
Adamts2,0,1,1,0
Grm6,0,0,0,0
Olfr1378,0,0,0,0
Olfr1377,0,0,0,0
Olfr51,0,0,0,0
Olfr54,0,0,0,0
Olfr1375,0,0,0,0
Zfp354a,123,138,143,97
9230009I02Rik,0,0,0,0
Gm12569,0,0,0,0
Clk4,781,728,1017,887
Col23a1,17,9,13,30
Phykpl,61,58,136,93
Nhp2,718,450,1112,737
D930048N14Rik,2,0,0,1
Sar1b,1678,1350,1816,1515
Gm39822,0,0,0,0
Cdkn2aipnl,544,513,802,565
Gm12204,64,70,88,97
Cdkl3,16,39,51,55
Ppp2ca,2603,2266,2856,2759
Skp1a,1182,913,1196,1029
Gm12207,0,0,0,0
A630014C17Rik,0,0,0,0
Vdac1,1433,1159,1531,1351
9530068E07Rik,1348,1282,1612,1392
Fstl4,1,1,1,2
Zcchc10,309,230,388,285
Aff4,1217,1265,1837,2259
Gdf9,61,54,45,31
Shroom1,14,26,18,7
Sept8,102,108,80,108
Kif3a,242,245,228,153
Il5,0,0,0,0
Irf1,199,94,149,188
P4ha2,3,4,2,6
Gm12223,0,0,0,0
Acsl6,9,3,4,7
Meikin,0,0,0,0
Fnip1,1926,1652,3257,2867
Rapgef6,1745,1701,1744,1693
Gm12227,3,0,0,0
Lyrm7os,0,0,0,0
Hint1,3782,2447,4774,3195
Gpx3,28,4,140,17
Gm2a,2218,1758,2377,2332
Slc36a3os,1,0,2,0
Slc36a1,1528,1434,2326,1809
G3bp1,1875,1691,2185,1753
Gm12238,0,0,0,0
Gm12236,0,0,0,0
Gm12239,0,0,0,0
Gria1,2,3,1,14
Mfap3,1846,1826,2244,1978
Gm12243,1,0,1,0
Galnt10,640,518,634,653
Sap30l,603,558,731,553
Larp1,1744,1631,2246,2136
Cnot8,1535,1439,1877,1622
Gm12246,0,1,0,0
Mrpl22,498,363,524,342
Igtp,22,24,25,14
Irgm2,585,440,319,269
4930438A08Rik,0,1,1,1
Zfp692,90,84,140,96
1700047K16Rik,5,6,7,5
Sh3bp5l,124,133,147,104
Lypd8,0,0,0,0
1810065E05Rik,0,0,0,0
Gm12253,0,0,0,0
Olfr325,0,0,0,0
Olfr324,0,0,0,0
Trim58,0,0,0,0
Olfr322,0,0,0,0
Olfr320,0,0,0,0
Olfr319,0,0,0,0
Olfr316,0,0,0,0
Olfr315,0,0,0,0
Olfr314,0,0,0,0
Olfr313,0,0,0,0
Olfr312,0,0,0,0
Olfr311,0,0,0,0
Gm12258,89,77,94,101
Gm12259,0,0,0,0
2810021J22Rik,112,89,119,133
Gm12256,0,0,1,0
Gm12257,0,0,0,0
Btnl10,0,1,0,1
Hist3h2ba,147,100,72,93
Trim17,4,2,4,2
Hist3h2a,0,0,0,0
Trim11,409,364,630,500
Gm10435,0,0,0,0
Mrpl55,541,419,647,434
2310033P09Rik,752,643,758,402
Wnt9a,0,0,0,0
Gm15755,0,0,0,0
Jmjd4,59,67,87,67
4933439C10Rik,33,24,31,35
Nlrp3,1129,849,1786,763
Mprip,512,490,606,489
Gm16062,101,66,71,27
Nt5m,5,9,3,6
Gm12714,0,1,1,1
1810063I02Rik,0,0,0,0
Med9,343,288,334,279
Rai1,327,303,429,341
Gm12265,0,0,2,0
Drc3,1,3,4,4
Gid4,137,121,147,153
Drg2,330,242,345,275
Myo15,4,1,3,1
Alkbh5,934,879,1363,1230
Llgl1,172,133,198,120
Mief2,94,107,96,83
Smcr8,351,367,484,341
Dhrs7b,1046,838,1045,678
Map2k3,380,304,524,448
Kcnj12,0,3,1,0
Tnfrsf13b,1776,1572,1411,1337
Aldh3a1,0,0,0,0
Gm45605,10,3,17,5
Mfap4,0,0,0,0
B9d1,11,21,22,17
Gm12272,0,0,0,0
Grap,1098,897,1049,954
Fam83g,21,25,11,22
Gm26964,23,30,54,42
Gm12273,0,0,0,0
Specc1,705,639,632,484
Adora2b,2,1,1,0
Ttc19,177,143,204,125
Pigl,92,64,72,107
Gm12278,0,0,0,0
Gm12949,0,0,1,0
Ubb,20767,18183,25369,27610
Trpv2,222,162,268,170
2410006H16Rik,3274,2050,5611,3692
Lrrc75aos2,39,86,94,125
Lrrc75aos1,0,1,0,3
Mmgt2,761,542,582,414
Gm27194,1,0,1,1
Gm10428,0,0,0,0
Zfp286os,0,0,0,0
Trim16,4,0,2,3
Fbxw10,22,20,32,25
Tvp23b,59,43,31,29
Cdrt4,0,0,0,0
Tekt3,1,2,1,2
Pmp22,4600,4531,8611,8018
B430319H21Rik,0,0,3,5
B130011K05Rik,0,0,0,0
9630013K17Rik,1,1,1,0
Gm12289,2,0,4,3
2810001G20Rik,73,59,118,56
Gm12290,0,0,0,0
Hs3st3a1,0,0,0,0
Elac2,36,36,42,40
Zkscan6,223,161,290,263
Gm12296,0,0,0,0
Pirt,0,1,0,0
Tmem238l,0,0,0,0
Gm12299,0,0,0,0
Tmem220,62,82,92,77
Sco1,80,70,91,81
Myh3,1,0,0,0
Myh2,0,0,0,0
Myh1,0,0,0,0
Myh4,0,0,0,0
Myh8,0,0,0,0
Myh13,2,0,0,0
Gas7,7,17,14,10
Rcvrn,1,0,0,0
Gsg1l2,0,0,0,0
Dhrs7c,0,0,0,0
9130017K11Rik,0,0,0,0
Stx8,794,526,818,551
Pik3r5,770,714,971,738
Pik3r6,51,45,65,34
Mfsd6l,8,1,5,6
Ccdc42,0,0,0,0
Myh10,75,116,201,139
Rnf222,0,1,0,0
Rpl26,25388,16145,30194,21531
Slc25a35,61,57,63,41
Ctc1,2734,2019,3299,1947
Aurkb,6,4,8,9
Borcs6,691,561,665,553
Tmem107,21,9,16,6
Vamp2,567,513,790,784
Per1,424,563,1690,2022
Hes7,29,22,15,30
Aloxe3,1,1,4,7
Alox12b,0,0,0,0
Cntrobos,0,0,0,0
Trappc1,230,159,373,225
Kcnab3,10,6,33,35
Rnf227,234,244,288,158
Naa38,748,486,830,528
Kdm6bos,32,58,83,168
Dnah2os,0,1,1,0
Trp53,1034,941,971,631
Sat2,75,81,150,98
Fxr2,471,453,564,514
Sox15,16,16,11,16
Tnfsf13os,2,0,5,1
Zbtb4,206,212,288,212
Tmem256,1689,1225,2303,1567
Plscr3,503,448,558,467
Neurl4,309,292,428,288
Gps2,681,471,845,556
Ybx2,0,2,0,0
Cldn7,0,2,2,0
Ctdnep1,828,750,939,681
Gabarap,6441,4508,6783,4792
Phf23,850,638,1012,593
Dvl2,139,127,199,125
Dlg4,108,102,118,102
Asgr1,0,2,2,1
Asgr2,44,13,28,14
Mgl2,26,7,32,5
Clec10a,13,6,36,2
Slc16a11,1,3,1,2
Arrb2,424,365,556,391
Med11,494,364,669,368
Zmynd15,28,25,44,43
Tm4sf5,0,0,0,2
Gltpd2,0,0,0,0
Psmb6,2158,1558,2185,1587
Pld2,144,156,152,76
Mink1,443,353,525,350
4930544D05Rik,0,0,0,0
Gp1ba,2,3,2,3
Rnf167,1744,1416,2068,1407
Eno3,198,161,175,135
Kif1c,133,129,175,127
Zfp3,74,55,79,49
Rabep1,804,736,899,817
Gm19967,0,0,0,0
Rpain,339,245,455,327
Mis12,305,263,264,165
9230020A06Rik,0,0,0,0
Wscd1,34,20,16,31
Pimreg,0,3,0,0
Txndc17,1723,1081,1898,1239
4930563E22Rik,16,12,16,11
1700051A21Rik,0,0,0,0
Xaf1,771,472,471,330
Fbxo39,0,0,0,0
Ggt6,0,0,0,0
Mybbp1a,1106,925,1333,1183
Ube2g1,679,549,689,571
Ankfy1,919,817,1060,736
Zzef1,498,443,633,611
Atp2a3,31,34,87,58
P2rx1,77,132,66,106
Camkk1,125,90,197,248
Ncbp3,1046,947,1084,1087
Itgae,42,26,47,38
P2rx5,0,0,0,0
Tax1bp3,24,26,16,33
Shpk,48,48,76,49
Trpv1,0,0,0,0
Trpv3,0,0,0,0
Spata22,0,0,1,0
Olfr20,0,0,1,0
Olfr376,0,0,0,0
Olfr384,0,0,0,0
Zfp735,0,0,0,0
Olfr390,0,0,0,0
Olfr23,0,0,0,0
Olfr397,0,0,0,0
Zfp616,0,0,0,0
Olfr401,0,0,0,0
Olfr402,0,0,0,0
Olfr403,0,0,0,0
Olfr406,0,0,0,0
Olfr59,0,0,0,0
Olfr412,0,0,0,0
Ccdc92b,1,2,2,0
Cluh,255,252,423,302
Mettl16,503,532,501,416
Mnt,658,531,1179,1291
Tsr1,179,163,282,208
Smg6,726,750,929,994
1700016P03Rik,2,3,1,2
Rtn4rl1,1231,1052,779,1361
Smyd4,110,135,147,105
Mir22hg,1,1,0,1
Tlcd2,143,242,101,71
Prpf8,1192,928,1297,1145
Rilp,11,21,9,8
Scarf1,0,6,4,6
Slc43a2,1368,1159,3425,2318
Pitpna,2022,1462,2316,1459
Inpp5k,566,462,854,750
Myo1c,414,344,1046,691
Crk,1402,1237,1844,1281
Ywhae,5908,5072,5248,4495
Gm12339,0,0,0,0
Gm16075,0,0,0,0
1700016K19Rik,0,1,0,1
Fam57a,2,2,8,1
Dbil5,5,3,6,2
Mrm3,118,82,129,87
Timm22,431,392,478,412
Bhlha9,0,2,1,0
Trarg1,1,0,0,0
Tmigd1,0,0,0,0
Blmh,742,636,671,562
Slc6a4,0,0,1,0
Ssh2,8385,7703,12202,9424
Coro6,15,3,24,16
Git1,364,332,417,407
Abhd15,63,61,140,189
Nufip2,945,939,1057,1167
Myo18a,520,503,396,368
Sez6,1,0,2,0
Phf12,815,790,922,933
Dhrs13,3,3,11,10
Flot2,96,97,184,151
Fam222b,228,237,309,307
Tlcd1,12,11,12,9
Rab34,220,168,310,206
Proca1,2,1,1,3
Sdf2,1278,947,1333,749
2610507B11Rik,775,623,923,800
Rskr,1,2,5,6
Spag5,1,1,1,1
Aldoc,18,21,75,98
Pigs,292,270,373,276
Unc119,14,6,22,14
Slc13a2os,0,0,0,0
Gm11195,0,0,0,0
Slc46a1,845,757,608,683
Vtn,5,26,43,21
Sebox,0,0,0,0
Poldip2,460,413,492,411
Ift20,1133,853,893,563
Lyrm9,333,247,378,238
Nos2,0,1,3,4
Gm11201,0,0,0,0
Nf1,983,1175,1132,1311
Rab11fip4,10,6,6,7
Gm11205,3,0,2,2
Suz12,1098,958,1357,1113
Atad5,119,91,125,113
Adap2,5064,6492,6536,7842
Rnf135,68,89,38,46
Rhot1,688,621,830,649
Rhbdl3,1,0,2,4
Zfp207,590,414,482,340
Psmd11,731,650,720,562
Cdk5r1,1098,1007,898,725
Tmem98,5,9,5,4
Spaca3,0,0,0,0
Gm11417,0,0,0,0
4930527B05Rik,0,0,0,0
Gm11418,0,0,0,0
5530401A14Rik,0,0,0,0
Gm11419,0,0,0,0
Ccl2,591,937,873,351
Ccl7,99,37,318,34
Ccl11,0,1,0,0
Ccl12,2744,2067,2509,1684
Ccl8,62,6,339,8
Tmem132e,0,0,0,1
Gm11426,0,0,0,0
Zfp830,632,539,723,665
Lig3,92,87,109,105
Fndc8,1,0,0,1
Unc45b,0,0,1,1
Slfn5,317,155,351,458
Slfn2,1669,712,898,809
Gm48462,0,0,0,0
Slfn1,28,7,28,4
Slfn4,1,1,2,2
Slfn3,5,6,3,2
AI662270,15,2,16,10
AA465934,110,61,151,113
Ap2b1,513,483,704,575
Rasl10b,1,0,4,2
1700020L24Rik,3,0,2,1
Taf15,706,617,715,740
E230016K23Rik,2,0,2,1
Ccl4,13421,19940,40948,34755
Wfdc17,287,62,800,262
Wfdc18,0,1,1,0
Wfdc21,43,4,233,50
Heatr6,518,495,580,492
Hnf1b,0,0,0,0
Ddx52,587,451,719,597
Synrg,1247,1104,1278,1131
Acaca,65,57,139,93
Lhx1os,0,0,1,2
4930502E09Rik,3,1,2,5
Myo19,43,27,48,28
Car4,1,8,2,16
1700125H20Rik,0,0,0,1
Appbp2os,5,2,6,3
Ppm1d,300,260,332,347
Bcas3,234,213,337,276
Tbx2,0,7,7,6
Tbx4,0,0,0,0
Brip1os,120,90,135,164
Rnft1,453,332,579,310
Tubd1,36,17,23,17
Ptrh2,545,350,488,315
Ska2,35,24,35,14
Trim37,137,121,162,112
Tex14,16,15,22,21
Sept4,13,15,34,31
Mtmr4,349,336,416,281
Hsf5,0,0,2,0
Rnf43,0,0,1,0
1110028F11Rik,0,0,0,0
Supt4a,1846,1169,1903,1216
Mir142hg,262,267,434,288
Tspoap1,8,10,12,8
Mpo,0,0,0,1
Mks1,115,95,177,114
Srsf1,1013,800,1223,700
Gm15892,7,7,16,38
Vezf1,1115,1009,1316,1098
Cuedc1,6,1,2,0
Mrps23,478,353,551,415
Gm38534,0,0,0,0
Ccdc182,0,0,0,0
Gm15893,6,3,12,8
C030037D09Rik,5,1,11,12
4930556N13Rik,0,0,0,0
Scpep1os,0,0,1,0
Coil,139,124,163,163
Trim25,215,155,253,353
Dgkeos,2,2,1,0
Gm525,4,2,5,4
Gm2018,0,0,0,0
Tmem100,1148,879,895,870
Gm45716,3,0,5,3
Mmd,180,152,301,152
Cox11,196,139,225,169
4930405D11Rik,0,0,0,0
Car10,0,0,1,0
Mbtd1,672,685,940,932
Spag9,2116,1913,2886,2483
B230206L02Rik,0,0,0,0
Tob1,80,75,102,79
Gm21885,0,0,1,0
Ankrd40,699,670,763,610
Chad,19,5,9,18
Lrrc59,570,498,650,573
Mrpl27,513,320,563,354
Gm11542,0,0,1,1
Cdc34b,0,0,0,0
Col1a1,0,2,1,0
Hils1,0,0,0,0
Ppp1r9b,1106,964,1028,829
Samd14,2,2,3,1
Gm11513,0,0,0,0
Dlx3,0,0,0,0
Dlx4os,0,0,0,0
Tac4,2,1,6,2
Gm11520,3,3,3,0
Fam117a,87,85,101,68
Slc35b1,814,801,917,744
Spop,1184,1009,1567,1279
Gm11528,0,0,0,0
Phb,440,406,531,406
Zfp652,821,878,1044,1207
Phospho1,0,0,0,0
Gngt2,3042,2328,2299,1792
4833417C18Rik,73,53,121,89
Gm11534,1,0,0,1
Gm29202,0,0,0,0
Gip,0,0,1,0
Snf8,909,693,852,594
Ttll6,0,1,0,1
Gm11535,0,0,0,0
Hoxb13,0,0,0,0
Gm53,0,1,0,0
Hoxb9,0,0,0,0
Hoxb8,0,0,0,0
Hoxb7,0,0,0,0
Hoxb6,0,0,0,0
Hoxb5,0,0,0,0
Hoxb4,115,95,91,95
Hoxb3,1,1,8,3
Hoxb2,0,0,0,0
Hoxb1,0,0,0,0
Skap1,0,0,2,1
Gm11537,0,1,0,0
Cbx1,1067,816,836,620
Copz2,144,92,129,85
D030028A08Rik,201,159,228,155
Prr15l,0,0,0,0
Sp6,2,4,8,2
Scrn2,80,81,85,65
Mrpl10,298,231,336,202
Osbpl7,171,123,213,179
Gm11583,14,16,22,20
Gm11592,0,1,2,1
Mrpl45,297,234,317,258
Socs7,282,254,397,416
Arhgap23,14,27,30,30
2410003L11Rik,8,4,13,5
Mllt6,306,291,458,448
Cisd3,116,84,156,107
Psmb3,2104,1469,2534,1492
Gm11614,1,3,2,1
Lasp1,1457,1272,2031,1342
B230217C12Rik,15,13,15,17
Gm11630,1,0,0,0
Gm11629,0,0,0,0
Rpl19,22745,13754,27885,19433
Cdk12,1172,1276,1386,1568
Gm20644,0,0,1,2
Ppp1r1b,2,5,6,6
Stard3,1994,1712,1658,1393
Tcap,20,5,8,22
Pnmt,0,0,0,0
Erbb2,2,0,0,0
Gm12352,1,2,0,0
Grb7,0,0,0,1
Zpbp2,2,0,0,0
Lrrc3c,0,0,0,0
Gsdma3,0,0,0,0
Gsdma2,0,0,0,0
Gsdma,0,0,0,0
Psmd3,710,648,960,852
Csf3,0,0,1,2
Thra,82,52,139,124
Msl1,201,179,188,205
Casc3,1140,1084,1483,1242
Rapgefl1,16,11,15,8
Wipf2,664,635,705,653
Cdc6,0,1,0,0
Rara,8,4,17,4
Igfbp4,313,367,149,241
Gm11940,1,3,4,6
A830036E02Rik,0,0,0,0
Krtap4-9,0,0,0,0
Gm11568,0,0,0,0
Gm11559,0,0,0,0
Krtap9-1,0,0,0,0
Gm11567,0,0,0,0
Krtap31-1,0,0,0,0
Gm11565,0,0,0,0
Krtap31-2,0,0,0,0
Krtap9-5,0,0,0,0
Gm11571,0,0,0,0
Gm12349,0,0,0,0
Eif1,12528,10384,16039,13096
Gast,0,0,0,0
Gm12348,0,2,1,6
Fkbp10,3,2,2,4
Klhl10,1,1,1,2
Ttc25,41,53,51,52
Cnp,56,43,38,43
Nkiras2,288,245,380,266
Dhx58os,1,1,0,0
Hspb9,7,2,6,14
Stat5a,146,106,191,146
Atp6v0a1,1836,1362,1926,1279
Naglu,1340,1276,2272,1803
Hsd17b1,15,13,38,8
Coasy,436,386,522,440
Mlx,467,338,464,306
Tubg1,207,151,182,102
Tubg2,1,0,2,1
Cntnap1,4,2,5,4
Ramp2,5,6,2,0
Vps25,48,31,36,22
Wnk4,0,0,1,6
Cntd1,2,2,2,2
Psme3,437,365,511,372
Aoc2,4,7,16,9
Aoc3,0,0,0,0
G6pc,0,0,0,0
Rundc1,131,113,150,133
Rpl27,12419,7139,14045,10345
Ifi35,784,505,858,495
Rnd2,15,8,21,14
Nbr1,944,863,1079,964
Tmem106a,224,231,268,190
Gm11635,0,0,0,0
Rdm1,263,187,247,140
Arl4d,57,50,59,39
Dhx8,669,590,737,714
Gm11551,0,0,0,0
4930417O22Rik,0,0,0,0
Gm20659,6,2,12,7
Cfap97d1,1,1,1,0
Cd300lg,2,1,2,0
Nags,0,0,0,0
G6pc3,603,535,725,635
BC030867,0,0,1,0
Asb16,0,0,1,0
Tmub2,676,569,813,646
Rundc3a,2,9,5,8
Grn,20965,17833,28349,21717
Fzd2,1,2,4,7
Meioc,0,1,0,0
Adam11,1,0,3,4
Higd1b,1,3,2,3
Ccdc103,0,2,0,0
