,cWT-1,cWT-2,cKO-1,cKO-2
4921509O07Rik,13,11,30,21
Gm34471,32,35,83,52
Snx18,3042,3477,4451,3974
Hspb3,0,0,0,0
A430090L17Rik,159,182,204,258
Ndufs4,1928,1742,2036,1940
Fst,0,0,0,0
4930467J12Rik,1,0,0,0
Itga2,7,6,16,9
Itga1,7,26,14,28
Pelo,0,1,0,0
Isl1,0,0,0,0
Gm47914,1,0,0,0
Gm47913,0,0,0,0
4930435F18Rik,0,0,2,4
Parp8,6660,5121,6132,4669
Gm17509,0,0,0,0
4933413L06Rik,0,0,0,0
Mrps30,13,4,5,14
Gm10732,0,0,0,0
Gm16263,0,0,0,0
Gm47336,0,0,0,0
Gm9752,0,0,0,0
3110070M22Rik,0,0,0,0
Gm48265,0,2,6,4
Gm48342,3,1,5,1
Nim1k,30,37,52,45
Zfp131,509,480,718,619
AF067063,0,0,0,0
Tcstv1,0,0,0,0
Gm21761,3,7,2,2
B020031M17Rik,0,0,0,0
Gm36079,0,0,0,0
Gm21188,4,1,2,2
Gm21762,0,0,0,0
Gm40653,0,0,1,1
2810429I04Rik,87,93,117,143
Gdi2,2901,2862,3358,3108
Asb13,212,150,245,176
Gm47695,0,0,0,0
Gm40655,0,0,0,0
Calm4,0,0,0,0
Calm5,0,0,0,0
Tubal3,0,0,0,0
Akr1c14,2,4,2,3
Gm47904,0,0,0,0
Gm47925,0,0,0,0
Akr1c13,3,3,2,2
Akr1c19,0,0,0,0
Akr1c6,0,0,0,0
Akr1c21,2,0,0,0
Gm40658,0,0,0,0
Gm5444,1,3,4,7
Gm40660,0,0,2,1
Klf6,2082,2053,3476,2293
Gm47507,56,38,72,44
Gm46401,0,0,1,1
Gm47549,0,0,0,0
Gm28465,0,0,0,0
Pitrm1,247,258,423,285
Gm36074,0,0,0,0
Adarb2,5,4,17,15
Idi1,3,9,8,2
Idi2,0,0,0,0
Larp4b,3782,3796,6128,6204
Gm48825,0,0,0,0
Dip2c,4504,4501,6450,6507
Gm36423,92,86,109,105
Gm47802,70,78,113,118
Gm26861,1,2,1,2
Gm47407,0,0,0,0
Gm47408,1,0,0,0
Gm47486,0,0,0,0
Heatr1,863,791,1259,1136
Gm30239,0,1,0,0
Ero1lb,588,596,786,625
Gm48544,0,0,0,0
Prl2c5,0,0,0,0
Nid1,0,1,0,1
Lyst,2271,1925,3727,2743
Gng4,0,1,2,0
Gm47882,0,2,1,0
Gm47884,0,0,0,0
B3galnt2,416,377,583,692
Arid4b,2856,2952,4024,4103
Gm48027,0,0,0,0
Gm30893,0,0,0,0
Psma2,1977,1607,2385,2019
AW209491,0,1,0,1
Gm20043,0,0,0,0
Gli3,0,1,1,2
A530046M15Rik,0,0,0,0
Gm31450,0,0,0,0
Inhba,0,0,0,1
Gm48503,1,1,0,1
Mplkip,35,20,22,28
Gm48754,0,0,0,0
Vps41,1887,1933,2531,2498
Amph,1,6,0,2
Tcrg-V7,0,0,0,0
Tcrg-V4,0,0,0,0
Tcrg-V6,0,0,0,0
Tcrg-V5,0,0,0,0
Trgj1,0,0,0,0
Tcrg-C1,0,0,0,0
Tcrg-V3,0,0,0,0
Trgj3,0,0,0,0
Tcrg-C3,0,0,0,0
Tcrg-V1,0,0,0,0
Trgj4,0,0,0,0
Tcrg-C4,2,1,4,2
Sfrp4,0,0,0,0
Elmo1,52116,54734,47561,53107
Gm47664,0,0,0,0
Aoah,67,18,81,24
Olfr1369-ps1,0,0,0,0
Olfr263,0,0,0,0
Trim27,243,259,357,271
Gpx6,0,0,0,0
Olfr1367,0,0,0,0
Zscan12,86,92,104,102
4930470G03Rik,1831,1512,2124,1618
Zkscan4,18,10,8,8
AK157302,0,0,0,0
Olfr1359,0,0,0,0
Hist1h2ai,0,0,0,0
Hist1h3h,0,0,0,0
Hist1h2bm,0,0,0,0
Hist1h4j,0,0,0,0
Hist1h2bn,0,0,0,0
Gm11274,0,0,0,0
Hist1h2bp,7,4,6,4
Hist1h2ao,0,0,0,0
Hist1h4m,0,0,0,0
Hist1h2br,0,0,0,1
Zfp184,50,53,55,48
Pom121l2,0,0,0,0
Gm11290,6,2,4,2
Gm11292,1,4,2,2
Hist1h2bk,0,0,0,0
Hist1h2bj,0,0,0,0
Vmn1r188,0,0,0,0
Vmn1r194,0,0,0,0
Vmn1r195,0,0,0,1
Vmn1r196,0,0,0,0
Vmn1r197,0,0,0,0
Vmn1r198,0,0,0,0
Vmn1r199,0,0,0,0
Vmn1r200,0,0,0,0
Vmn1r201,0,0,0,0
Vmn1r203,0,0,0,0
Vmn1r204,0,0,0,0
Gm11309,0,0,0,0
Gm11314,0,0,0,0
Vmn1r213,0,0,0,0
Vmn1r214,0,1,0,0
Vmn1r215,0,0,0,0
Vmn1r216,0,0,0,0
Vmn1r218,0,0,0,0
Vmn1r219,0,0,0,0
Vmn1r221,0,0,0,0
Vmn1r223,0,0,0,0
4933404K08Rik,0,0,0,0
4930586N03Rik,110,84,108,71
Hist1h4h,0,0,0,0
Hist1h2af,0,0,0,0
Hist1h3g,0,0,0,0
Hist1h3f,0,0,0,0
Hist1h1d,0,0,0,0
Hist1h2bg,0,0,0,0
Hist1h2ad,0,0,0,0
Hist1h3d,0,0,0,0
Hist1h4d,0,0,0,0
Hist1h2bc,7430,5881,6315,2624
Hist1h1t,0,0,0,0
Hist1h1c,0,0,0,0
Hist1h2bb,0,0,0,0
Hist1h2ab,0,0,0,0
Hist1h3b,0,0,0,0
Hist1h4b,0,0,0,0
Hist1h1a,0,0,0,0
Trim38,0,4,0,0
Slc17a2,0,0,0,0
Slc17a3,0,0,0,0
Slc17a1,1,0,1,0
Hist1h2aa,0,0,0,0
Gm11339,0,0,0,0
Cmah,1,2,2,1
Ripor2,1064,741,1766,550
Armh2,0,0,2,0
BC005537,323,340,585,479
Tdp2,170,156,208,230
D130043K22Rik,1,1,2,1
4932702P03Rik,0,3,4,2
9330162012Rik,0,0,0,0
Gpld1,38,26,42,43
Dcdc2a,0,0,1,0
4921520N01Rik,0,0,0,0
Prl,0,0,0,0
Prl3d1,0,0,0,0
Prl3d2,0,0,0,0
Prl3d3,0,0,0,0
Prl3c1,0,0,0,0
Prl3b1,0,0,0,0
Prl3a1,0,0,0,0
4930511O05Rik,0,0,0,0
Prl6a1,0,0,0,0
Prl8a2,0,0,0,0
Prl2a1,0,0,0,0
Prl2c1,0,0,0,0
Prl4a1,0,0,0,0
Prl5a1,0,0,0,1
Gm11361,0,0,0,0
A330102I10Rik,5,6,24,27
Gm11365,13,6,12,9
Gm11368,176,129,315,242
Mboat1,315,506,469,591
Agtr1a,2,1,2,2
Gm48161,0,0,0,0
4930519D14Rik,0,0,0,0
Dusp22,408,436,645,581
Irf4,83,57,109,135
Gm11376,0,0,0,0
Foxq1,0,0,0,0
Gm11377,0,0,0,0
Gm11378,0,0,0,0
Foxf2,0,0,0,0
Gm11379,0,0,0,1
Foxc1,0,0,0,0
Gm35732,0,0,2,0
Wrnip1,66,85,115,66
Serpinb6b,1,1,1,0
Gm47662,0,0,1,0
Serpinb9,31,27,25,12
Serpinb9b,0,0,0,1
Serpinb1b,1,0,1,0
Serpinb9d,0,0,0,0
Serpinb9e,0,0,0,0
Serpinb9f,0,0,0,0
Serpinb9h,0,1,0,0
Serpinb9g,0,0,0,0
Gm47916,0,0,0,0
Serpinb6d,0,0,0,0
1110046J04Rik,71,74,176,154
Nqo2,115,117,182,166
Ripk1,701,645,1077,1702
Bphl,124,131,163,135
Gm47076,3,2,0,1
Gm36500,3,1,0,4
Psmg4,121,118,119,103
Gm15908,10,7,6,1
Gm47150,0,0,0,0
Gm47152,0,0,0,0
Fam50b,3,3,2,0
Prpf4b,1174,915,1183,992
4933417A18Rik,1,0,0,0
Gm16984,70,61,149,179
Gm40910,1,0,0,1
Gm48629,0,0,0,0
1700011B04Rik,0,0,0,0
Gm48703,1,0,2,1
Gm48704,0,0,0,0
Cdyl,1481,1387,2398,2129
Gm48746,9,4,4,9
Ppp1r3g,0,0,0,0
Gm48770,21,26,22,19
Fars2,3615,3760,5325,4586
Gm46409,0,0,0,1
Gm30177,0,0,0,0
Gm49144,3,0,8,3
Gm30489,8,0,15,4
Gm47707,0,0,0,0
Gm47709,0,0,0,2
Gm47711,0,0,0,0
Ly86,11554,11916,12301,13214
Gm47731,115,109,161,162
Gm47732,1,1,0,1
Gm29590,0,0,0,0
Lncbate6,14,15,10,20
Gm47754,295,311,201,202
Gm31600,0,0,0,0
Rreb1,18436,19312,19791,17396
Riok1,244,250,356,252
Dsp,0,0,0,0
Snrnp48,221,178,304,255
Gm47990,0,0,0,0
Bmp6,2,2,2,1
Gm31834,3,3,1,2
Gm40922,0,0,0,4
Gm47400,0,0,0,0
Gm46392,3,0,1,1
Gm47510,0,0,0,0
Gm47511,0,0,0,0
5033403F01Rik,5,8,10,4
Gm47348,0,0,0,0
Gm47349,0,0,0,0
Gm47352,0,0,0,0
A230103O09Rik,0,0,0,0
Gm9979,0,0,0,0
Gm47061,0,0,0,0
Gm26688,1,0,0,0
Gm47067,0,0,0,0
Gcnt2,898,878,2391,5096
Pak1ip1,188,211,227,323
Tmem14c,55,48,78,59
Sycp2l,17,23,9,20
Gm48510,0,0,0,0
Gm32063,0,0,0,0
Smim13,131,119,185,129
Gm26877,0,0,0,2
Gm48571,0,0,3,0
Gm48570,0,0,0,0
Gm32401,10,7,14,13
Tmem170b,1458,1434,1820,1733
Gm5082,9,11,10,12
1700061E18Rik,28,30,20,22
Gm28564,1,0,0,0
Gm10790,11774,11568,14332,12717
Gm28707,90,91,58,61
Hivep1,1038,1017,948,1000
Edn1,22,22,22,12
Phactr1,187,177,196,153
Gm15809,0,0,0,0
Sirt5,46,42,77,56
Nol7,836,782,1270,877
Gm32939,0,0,0,0
Rnf182,2,6,4,4
Gm47728,0,0,0,0
Gm20751,0,0,0,0
Cd83,12109,10263,22598,26127
Gm33115,0,0,0,0
Gm33195,0,0,0,0
Gm2233,0,0,0,0
Gm5083,0,0,0,0
Gm33684,0,0,0,0
Gm47781,0,0,0,0
1700029N11Rik,0,0,0,0
Gm47792,0,0,0,0
Gm47805,0,0,0,0
Jarid2,3040,3105,3470,2826
Gm40932,52,57,94,64
Gm47448,29,47,43,47
Mylip,10585,11320,16366,11698
Gmpr,342,410,376,395
Gm47460,29,38,61,49
4930453C13Rik,8,8,7,6
5033430I15Rik,0,0,1,0
Gm45949,0,0,1,0
Stmnd1,0,0,1,4
Rbm24,0,0,1,0
Cap2,1,6,2,2
Fam8a1,67,55,90,64
Gm48250,125,124,136,94
2010001K21Rik,1,7,1,2
Kdm1b,236,285,453,392
1700026N04Rik,5,9,19,12
Rnf144b,1165,1267,2076,1825
Gm35733,0,0,2,0
4930471G24Rik,0,0,0,0
G630093K05Rik,0,1,0,0
Gm36101,0,0,0,0
Id4,0,0,0,1
A830005F24Rik,0,0,1,1
Gm36550,2,1,2,4
Barx1,0,0,0,0
Phf2os1,50,34,47,43
Ninj1,176,227,378,420
Bicd2,254,272,272,225
Ippk,121,130,146,129
Tes3-ps,0,0,0,0
Ecm2,16,11,18,9
Aspn,18,22,17,10
Omd,9,15,12,19
Ogn,17,14,11,10
Nol8,196,210,332,279
Iars,623,501,809,482
Gm47977,0,0,0,0
Gm48051,0,0,0,0
4933433N18Rik,0,0,0,0
Gm31126,0,0,0,0
Fbxw17,66,57,81,58
Nutm2,0,0,0,0
Gm904,0,0,0,0
Gm8765,0,0,0,0
Spin1,485,459,577,461
Nxnl2,0,0,0,0
S1pr3,0,0,0,0
Cks2,110,145,122,156
Secisbp2,812,729,1135,993
Gadd45g,16,16,15,56
Gm26651,0,0,0,0
4921525O09Rik,0,4,2,6
Gm48199,0,0,0,0
Syk,2832,2702,4099,6694
Gm33424,0,0,0,0
Gm48336,0,0,0,0
Gm2762,0,1,0,0
4930555G21Rik,0,0,0,0
Gm48548,0,0,0,0
Gm48550,0,0,0,0
Sfxn1,197,183,303,407
Hrh2,169,159,118,127
Gm48615,0,0,0,0
Gm48623,0,0,0,0
Cplx2,0,0,1,4
Simc1,470,431,541,505
Arl10,335,382,377,332
Higd2a,27,18,23,19
Faf2,696,652,949,841
Cdhr2,0,1,0,0
Eif4e1b,0,0,0,0
Tspan17,5,4,14,9
Gm29431,0,0,0,0
5330429C05Rik,0,0,0,0
Unc5a,9,2,1,3
Zfp346,389,354,643,568
Fgfr4,0,1,0,0
Nsd1,4951,4937,6019,5519
Prelid1,27,27,42,25
Rgs14,21,25,41,20
Slc34a1,0,0,0,0
Grk6,234,199,361,387
Prr7,15,15,46,60
Gm46416,0,0,0,0
Tmed9,27,16,22,17
B4galt7,55,61,81,134
Caml,383,340,426,365
Ddx46,602,509,814,686
B230219D22Rik,842,772,1179,1235
Txndc15,276,245,324,338
Pcbd2,680,655,663,404
Catsper3,29,35,33,23
Gm47071,269,328,353,416
Gm10782,0,0,0,0
Gm3045,0,0,0,0
Slc25a48,0,0,0,0
Fbxl21,19,12,23,7
2010203P06Rik,0,0,0,0
Tgfbi,149,173,173,70
Smad5,339,381,478,489
1700066J03Rik,0,0,1,1
Idnk,110,88,99,89
Gm48441,17,9,6,10
Gm26555,2,2,5,1
Rmi1,136,119,151,122
Gm47918,0,0,0,0
Gm47947,0,0,0,0
Ntrk2,6,9,27,24
Gm34354,0,0,0,0
4930455M05Rik,0,0,0,0
Naa35,1109,1190,1120,986
Spata31d1b,0,0,1,0
Gm46419,9,33,18,13
4930528D03Rik,0,0,0,0
Etohd2,143,186,119,132
Gm34961,195,235,232,303
Gm48384,13,9,25,17
A530065N20Rik,0,0,1,2
Gm48397,0,0,0,0
Gm48488,0,0,0,0
Gm5084,0,0,0,0
Dapk1,1055,1448,1465,1625
Gm40975,0,0,0,0
Gm49357,1,8,6,5
Gm48116,0,0,0,0
Gm40977,0,0,0,0
Zfp808,587,612,680,321
Aopep,2850,2879,5378,4712
Gm30409,1,0,7,2
Gm47587,1,1,0,1
Gm16133,1,1,10,7
Gm30655,0,0,0,1
Gm47390,0,0,0,0
Gm47418,0,0,0,0
Ercc6l2,437,500,740,516
Gm47424,5,1,10,5
Habp4,65,61,95,91
1810034E14Rik,88,95,180,136
Gm47003,6,17,12,17
Gm47123,3,1,2,7
Cdk20,12,6,5,6
Gm31218,0,0,2,3
Gm47193,0,0,0,0
Spata31,0,0,0,0
Spata31d1c,1,0,0,0
Olfr465-ps1,0,0,0,0
Olfr466,0,0,0,0
Gm47249,0,0,0,0
Gm36445,16,9,43,48
Gm10775,0,0,0,0
Zfp369,411,443,540,423
Gm40983,0,0,0,0
Gm48166,0,0,1,1
Gm10139,0,0,0,0
Gm48222,0,0,0,0
Gm10324,0,0,0,0
Gm48223,0,0,0,0
Gm26754,1,1,0,1
Gm40988,0,0,0,0
Gm48412,0,0,0,0
Gm10767,8,25,9,9
Ptdss1,344,278,551,458
Gm46440,42,25,54,46
Zfp759,14,14,23,22
Rsl1,72,36,65,59
Zfp455,46,42,68,42
F630042J09Rik,0,0,0,0
Gm17039,0,0,2,0
Gm48900,30,18,28,45
Gm48899,7,12,24,25
9430065F17Rik,0,0,1,2
Gm48095,16,14,15,13
Zfp85os,34,38,32,20
Zfp493,36,8,19,16
Zfp273,38,25,48,31
Gm10037,36,8,31,29
BC048507,0,0,0,0
Gm7969,0,0,0,0
Gm48419,0,0,0,0
Gm48423,0,0,0,0
Fastkd3,10,24,22,23
1700001L19Rik,2,0,1,0
Gm35161,0,0,0,0
Gm26844,0,0,0,0
Gm35514,0,0,0,0
Nsun2,266,241,360,317
Gm48819,0,0,0,0
Med10,8,13,18,18
4933416O17Rik,0,0,0,0
Gm3772,2,0,1,0
AU017674,0,1,0,0
4930520P13Rik,0,0,0,0
1700100L14Rik,0,0,0,0
D030007L05Rik,0,0,0,0
Gm36607,5,8,2,3
Gm36529,13,8,2,1
8030423J24Rik,0,2,0,1
1700112M02Rik,0,0,0,1
Irx2,0,0,0,0
Gm47902,0,0,0,0
Irx4,0,0,0,0
Mrpl36,17,9,13,3
Lpcat1,553,568,658,541
Slc6a3,0,0,1,0
Clptm1l,45,58,60,68
Tert,4,3,13,12
Slc6a19os,0,0,0,0
Slc12a7,60,80,62,191
Brd9,618,588,608,573
Zdhhc11,0,2,2,3
Tppp,111,108,48,77
Slc9a3,2,1,1,3
Ccdc127,211,153,195,165
Ftl1-ps1,0,0,0,0
Gm49762,0,0,0,0
Gm49763,12,8,10,9
Erap1,547,503,751,782
Pcsk1,0,0,0,0
Ell2,487,537,737,1046
Gm48302,0,0,0,0
Glrx,39,47,53,44
Spata9,0,4,4,4
Ttc37,674,593,878,745
Gm31219,0,0,0,0
Mctp1,8306,8530,10541,7720
2210408I21Rik,1780,2203,3597,3509
Fam172a,7949,8196,11940,11387
Pou5f2,0,0,0,0
3110006O06Rik,3,1,3,4
A830082K12Rik,9,5,6,4
Gm48399,0,0,0,0
Gm31946,0,0,0,0
Gm32067,1,1,1,1
Gm48402,0,0,0,0
Gm29318,0,0,0,0
Arrdc3,1267,2089,2156,2349
5430425K12Rik,6,12,22,6
9330111N05Rik,23,23,28,38
Gm49375,0,0,0,0
Lysmd3,236,295,292,332
Mblac2,258,276,459,450
Cetn3,181,147,212,177
Gm48155,1,1,1,0
2310067P03Rik,131,102,162,131
Mef2c,34845,36033,40033,27121
C130071C03Rik,1,8,9,28
2810049E08Rik,0,0,0,0
Tmem161b,875,771,982,877
Gm49223,7,17,21,18
Ccnh,773,662,901,791
Gm34585,0,0,0,0
Edil3,2,8,10,10
Hapln1,0,0,0,1
Gm4117,119,164,178,166
Tmem167,357,316,591,555
Rps23,309,264,461,534
Gm47381,0,2,0,3
Ssbp2,4259,3783,2939,2868
Acot12,0,0,0,0
1700119I11Rik,0,0,0,0
Gm20379,0,0,0,0
Dhfr,39,23,47,26
Ankrd34b,0,0,0,0
Serinc5,96,123,197,167
Mtx3,44,44,64,82
Gm31630,2,2,0,0
Gm4814,2,2,3,4
A630019I02Rik,4,2,1,0
Homer1,304,343,472,406
Gm15622,1,1,1,1
Dmgdh,0,1,0,0
Arsb,7443,5699,5935,4138
Lhfpl2,4891,6178,4070,3884
Gm48102,53,53,154,140
Ap3b1,5367,4964,6777,6624
Tbca,596,565,677,732
Otp,0,0,0,0
Wdr41,662,619,938,919
Gm48420,0,0,0,0
Gm16243,0,0,0,0
Zbed3,155,195,199,230
Gm48730,0,0,1,0
F2rl2,0,0,2,0
AC171003.1,2,0,1,1
AC163685.1,3,1,2,1
Gm17190,0,0,0,0
Gm29543,0,0,0,0
Poc5,224,264,332,341
Gm17622,0,1,1,1
Col4a3bp,1847,1644,2489,2513
Ankrd31,2,5,3,4
Gcnt4,0,0,0,0
Fam169a,2,1,4,5
Gfm2,1748,1765,1864,1628
Enc1,268,224,263,113
C430039J16Rik,0,0,0,0
Gm33447,0,0,0,0
Lncenc1,16,13,15,7
Gm2379,5,0,6,2
Gm5086,3909,4138,5131,2594
Gm26619,0,0,4,0
Ankra2,341,325,436,356
Gm21976,1,4,6,6
Gm9828,58,60,67,70
Foxd1,0,0,0,0
Gm47551,67,87,142,196
Gm35279,0,1,0,1
A930014D07Rik,23,12,63,33
Gm807,0,0,0,0
Zfp366,1,2,1,1
Mrps27,267,339,465,354
Gm26559,0,0,0,0
Serf1,155,131,88,63
Smn1,95,97,171,157
Gm48596,0,1,0,0
Ak6,84,85,114,64
Taf9,12,16,15,17
Ccdc125,128,176,276,197
Gm29502,1,1,1,0
5930438M14Rik,0,0,0,0
4932411K12Rik,1,0,1,0
Gm47533,0,0,0,0
Gm47007,0,0,0,0
Cd180,2638,3558,2139,2097
1700099I09Rik,25,16,16,16
Gm17160,33,48,14,30
Sgtb,35,34,45,31
Trim23,439,513,737,1015
Cenpk,19,20,21,24
Adamts6,1120,922,1834,1787
2610204G07Rik,40,55,60,77
Srek1ip1,443,392,402,478
4933425L06Rik,1,1,1,5
Htr1a,0,0,0,0
Gm10739,1,0,1,1
Gm28989,12,13,9,5
Gm28988,0,0,0,0
Dimt1,125,133,200,151
3830408C21Rik,24,15,42,46
Gm48684,0,0,0,1
Gm31452,4,1,0,1
AI197445,0,0,0,0
1700006H21Rik,0,0,0,0
B230220B15Rik,5,1,1,1
Smim15,137,91,115,102
Ercc8,236,214,345,268
Elovl7,4,4,1,3
Depdc1b,7,4,18,3
Pde4d,21308,6471,29876,21880
Plk2,15,29,18,16
Gm33045,0,0,0,0
Gm33172,0,0,0,0
Gm38397,0,0,0,0
Actbl2,0,0,0,0
Gm15286,4,0,1,1
Gm10198,0,0,0,0
Mier3,229,207,270,238
Gm15287,1,0,0,1
Gm15327,9,5,17,13
Gm15324,0,1,0,0
Gm15326,32,70,42,34
Gm15322,0,0,2,0
Gm15323,0,0,0,0
Ankrd55,17,56,27,21
Il6st,2024,2150,2053,2048
Slc38a9,2180,2211,2901,2312
Gm47850,0,0,0,0
Plpp1,748,755,644,589
Dhx29,222,199,309,272
Ccno,4,3,1,3
Mcidas,1,0,2,0
Cdc20b,1,0,1,0
1700084D21Rik,0,0,0,0
Esm1,0,0,0,0
BC067074,27,23,32,21
Gm34586,1,2,18,23
Arl15,9034,9299,14718,15794
Gm47040,0,2,0,0
4930544M13Rik,1,0,1,2
Mocs2,316,299,343,300
Gm10734,2,0,1,4
Gm6416,0,1,0,0
Emb,6,1,13,5
Hcn1,1,3,1,6
B430218F22Rik,0,0,0,0
1700003P14Rik,0,0,0,0
Fgf10,0,0,0,1
Paip1,933,813,1191,1043
4833420G17Rik,442,436,508,537
Tmem267,71,64,95,110
Ccl28,2,0,16,9
1700074H08Rik,0,0,0,0
Hmgcs1,57,36,64,43
Gm41077,22,48,32,39
D13Ertd608e,0,0,0,0
Gm36161,1,0,0,0
Gm20767,0,0,0,0
Gm21818,0,0,0,0
Gm21731,0,0,0,0
AF067061,0,0,0,0
BC147527,14,8,7,8
Tcstv3,0,0,0,0
Gm17188,9,17,16,29
Gm26886,11,21,6,22
Gm26655,44,46,46,13
Gm26650,11,12,20,11
Gm26552,0,0,1,0
Gm3526,0,0,0,0
Gm3542,0,0,0,0
Gm3500,0,3,11,18
Gm3194,9,1,11,3
Gm8246,0,0,0,0
Gm26893,12,0,16,5
Gm3383,2,7,9,5
Gm8265,0,0,0,0
Gm9603,0,0,0,0
Gm3373,0,0,0,0
Gm3424,0,0,0,0
Gm8237,34,120,56,126
Gm3248,359,846,569,736
Gm3453,1,22,14,32
Gm8206,25,23,29,46
Gm6337,0,0,0,0
Gm3468,425,342,324,228
Gm3476,2,2,2,4
Gm21560,0,7,11,18
Gm3411,40,435,189,554
Gm21103,2,5,12,19
Gm16440,1,0,0,0
Gm3591,56,28,29,11
Gm3594,0,0,0,0
Gm8356,0,0,0,0
Gm3629,0,4,2,3
Gm3460,0,0,0,0
Gm10251,1,8,5,4
Gm8050,1,0,2,1
Gm3636,14,13,18,9
Gm8362,1,0,0,0
Gm3642,0,0,0,0
Gm3667,139,270,315,413
Gm6356,0,0,0,0
Gm10406,218,1025,761,1470
Gm3685,0,0,1,1
Gm3696,14,56,34,76
Gm6676,0,0,0,0
Gm3512,0,0,1,2
Gm16434,0,0,0,0
Gm3727,0,0,0,0
Gm3739,961,778,1160,682
Gm5797,0,0,0,0
Gm8374,0,0,0,0
Gm10339,1,7,3,3
Gm3755,0,1,0,0
Gm3752,27,54,38,55
Gm3558,24,124,104,165
Gm10338,2,0,0,1
Gm10128,0,7,3,7
Dnase1l3,2,4,0,0
Pdhb,165,149,237,359
Acox2,2,0,2,1
Fam107a,0,4,0,2
Oit1,0,0,1,1
4930452B06Rik,0,1,0,1
Gm48371,1,0,0,1
Fhit,11458,7437,16156,6863
Gm3839,0,0,1,2
Gm48595,0,0,0,0
Gm3848,5,1,15,2
Fezf2,0,0,0,0
Cadps,2,1,3,5
Gm5087,0,1,0,0
Gm281,0,1,7,4
Thoc7,396,419,412,388
Psmd6,106,96,125,135
Olfr720,0,0,0,0
Gm48857,0,0,0,0
Gm48860,17,47,39,80
Gm31517,0,0,2,3
4921522A10Rik,0,0,0,0
Gm47758,0,0,0,0
Gm31577,0,0,0,0
Lrrc3b,2,1,0,1
Gm47782,3,2,0,1
1700062C10Rik,1,0,0,0
Oxsm,108,144,180,162
Gm48163,15,14,32,21
Rarb,2,54,9,36
Gm48321,2,11,3,15
Nr1d2,521,450,781,922
Rpl15,62,68,89,97
Ube2e1,1397,1397,1836,1646
Ube2e2,265,1053,878,1995
Gm21738,9,10,10,3
Gm2244,2,1,4,3
Gm2237,327,304,428,199
Gm5458,2,5,3,1
Gm41102,0,0,0,2
Rtraf,169,133,209,172
Gng2,5710,5600,8251,6081
Saysd1,945,856,1204,1295
Kcnk5,0,1,1,0
Kcnk16,0,0,0,0
Ecd,261,303,423,534
Gm30054,358,393,457,461
Dnajc9,4,11,9,4
Mrps16,19,14,28,14
Cfap70,0,1,3,2
Anxa7,199,158,308,405
Mss51,102,85,132,134
Ppp3cb,1298,1179,1697,1332
Usp54,245,274,289,255
Myoz1,2,1,6,0
Synpo2l,1,2,1,1
6230400D17Rik,291,257,556,535
Ndst2,342,244,372,255
Camk2g,699,809,901,1005
Ap3m1,297,324,411,371
Gm30363,2,2,5,0
Dupd1,17,28,8,27
Dusp13,3,3,6,8
Comtd1,88,110,130,114
4931407E12Rik,2,2,2,4
Zfp503,2,0,0,0
Gm7480,46,55,90,66
4930405A10Rik,221,207,291,322
Gm10248,27,32,40,48
Kcnma1,3399,5806,1639,4521
Gm31392,0,0,0,1
Dlg5,7,3,2,2
Gm17105,0,0,0,0
Gm47774,0,0,0,0
Gm47814,2,0,9,7
Polr3a,309,281,353,288
4930542C16Rik,0,1,0,0
Gm38408,0,0,0,0
4930572O13Rik,0,0,0,0
Zmiz1os1,71,81,160,161
Gm26660,2,6,6,11
Ppifos,2,3,2,2
Zcchc24,340,341,293,199
Anxa11os,8,5,15,11
Plac9a,0,0,0,0
Tmem254a,0,0,0,0
Gm9780,0,0,0,0
Tmem254c,0,0,0,0
Plac9b,0,0,0,0
Tmem254b,0,0,0,0
Gm34059,0,0,0,0
Slmap,5116,5719,5924,5192
Arf4os,258,266,308,334
Pde12,10,3,14,26
Appl1,781,665,1156,1174
Ccdc66,597,624,683,570
Gm45645,0,0,0,0
Gm2670,0,0,0,0
Gm35217,0,0,0,1
Cacna2d3,2,8,1,2
Gm48058,0,0,0,0
Gm35281,0,0,0,0
Gm47414,0,0,8,2
Il17rb,4,8,4,18
Cacna1d,5234,5465,7208,6255
Prkcd,1397,1259,2030,1456
1700087M22Rik,113,111,82,116
Itih3,0,0,1,0
Itih1,0,0,0,0
Spcs1,7,8,5,2
Gnl3,176,222,429,693
Smim4,418,419,608,600
Stab1,1760,2163,3412,2359
Nisch,642,607,793,798
Phf7,245,192,448,332
Dnah1,7,2,2,7
Gm49791,0,0,0,0
Sh3bp5,786,798,1858,1699
Mettl6,232,197,307,712
Colq,1,1,5,3
Hacl1,231,257,371,311
Ankrd28,405,346,526,317
4930425P05Rik,0,0,0,0
Dph3,403,309,458,491
Timm23,630,553,1101,1163
Gm17210,1,0,1,2
Gm48914,6,5,0,7
1700024G13Rik,0,0,0,0
Chat,0,0,0,0
Slc18a3,0,0,0,0
3425401B19Rik,1,15,15,10
Wdfy4,3844,3532,5920,4370
Gm49030,13,17,8,21
Gm15512,0,0,3,4
Mapk8,698,775,919,931
Gm49108,0,0,0,0
4930503F20Rik,0,0,0,0
Zfp488,0,0,0,0
Gm30083,0,0,0,0
A630023A22Rik,1,0,0,1
Npy4r,0,0,0,0
Gprin2,0,0,0,0
Gm49201,0,0,0,0
Shld2,1037,956,1381,1065
Fam25c,0,0,2,0
Sncg,0,0,0,0
Bmpr1a,1970,1945,2318,2398
9230112D13Rik,0,1,0,1
Ldb3,3,2,2,1
